perf/mse,time-step
0.0021281638,513.0
,
0.002143634,514.0
,
0.0022015078,515.0
,
0.0021475754,516.0
,
0.0022269427,517.0
,
0.0023432763,518.0
,
0.002401222,519.0
,
0.0024662379,520.0
,
0.0024707017,521.0
,
0.0025454203,522.0
,
0.0024890187,523.0
,
0.002505992,524.0
,
0.0026073395,525.0
,
0.0025565855,526.0
,
0.0024391564,527.0
,
0.0024392153,528.0
,
0.0024006793,529.0
,
0.002292173,530.0
,
0.0024059769,531.0
,
0.0024055324,532.0
,
0.0024946951,533.0
,
0.0024668395,534.0
,
0.0023326012,535.0
,
0.002443885,536.0
,
0.0025234304,537.0
,
0.0024664085,538.0
,
0.002584805,539.0
,
0.0025890027,540.0
,
0.0025133213,541.0
,
0.0026952599,542.0
,
0.0027123834,543.0
,
0.002689264,544.0
,
0.0027741035,545.0
,
0.0027414158,546.0
,
0.0027187539,547.0
,
0.002805574,548.0
,
0.00282604,549.0
,
0.0028716237,550.0
,
0.0028156699,551.0
,
0.0026442178,552.0
,
0.0025296258,553.0
,
0.0026639043,554.0
,
0.0026615947,555.0
,
0.0026516842,556.0
,
0.0026206903,557.0
,
0.0024968733,558.0
,
0.002526144,559.0
,
0.0024777227,560.0
,
0.0024897256,561.0
,
0.0023758558,562.0
,
0.0024036537,563.0
,
0.0022878686,564.0
,
0.0020820925,565.0
,
0.0020221476,566.0
,
0.001976047,567.0
,
0.0019488174,568.0
,
0.0018191446,569.0
,
0.0017933354,570.0
,
0.0017584019,571.0
,
0.0017262285,572.0
,
0.0016989928,573.0
,
0.0016640241,574.0
,
0.0017585425,575.0
,
0.0019102652,576.0
,
0.0018732961,577.0
,
0.0018699842,578.0
,
0.0017665562,579.0
,
0.0017897019,580.0
,
0.0017840561,581.0
,
0.0017592997,582.0
,
0.0017076783,583.0
,
0.0016387952,584.0
,
0.0015810037,585.0
,
0.0014622647,586.0
,
0.0014957235,587.0
,
0.0014543158,588.0
,
0.0014812534,589.0
,
0.001367893,590.0
,
0.0013970856,591.0
,
0.0015061393,592.0
,
0.0015357451,593.0
,
0.0016547425,594.0
,
0.0016331424,595.0
,
0.0016304584,596.0
,
0.0016652457,597.0
,
0.0017786825,598.0
,
0.0017203672,599.0
,
0.001786032,600.0
,
0.0017361853,601.0
,
0.0016937058,602.0
,
0.0016890537,603.0
,
0.0016218744,604.0
,
0.001601972,605.0
,
0.0015790925,606.0
,
0.001564561,607.0
,
0.0015015571,608.0
,
0.001535351,609.0
,
0.0015155817,610.0
,
0.0015155214,611.0
,
0.0015362937,612.0
,
0.0015615993,613.0
,
0.0015777744,614.0
,
0.0016566053,615.0
,
0.0016467813,616.0
,
0.0016113274,617.0
,
0.0015947443,618.0
,
0.0015654413,619.0
,
0.0015996281,620.0
,
0.001612214,621.0
,
0.0015322065,622.0
,
0.0015821314,623.0
,
0.0015103245,624.0
,
0.0014455387,625.0
,
0.0015303436,626.0
,
0.0015454928,627.0
,
0.0015097434,628.0
,
0.0016027406,629.0
,
0.0016061461,630.0
,
0.0016446331,631.0
,
0.0016633548,632.0
,
0.0015085164,633.0
,
0.0016138197,634.0
,
0.0016143487,635.0
,
0.0016096967,636.0
,
0.0015991589,637.0
,
0.0015933309,638.0
,
0.0015239471,639.0
,
0.0015452319,640.0
,
0.0015790348,641.0
,
0.0015637142,642.0
,
0.001596322,643.0
,
0.0016201679,644.0
,
0.0016536374,645.0
,
0.0015769384,646.0
,
0.001606236,647.0
,
0.0016799301,648.0
,
0.0016352783,649.0
,
0.0015815415,650.0
,
0.0015611749,651.0
,
0.0015601789,652.0
,
0.0015590788,653.0
,
0.0014543917,654.0
,
0.0015145291,655.0
,
0.001510774,656.0
,
0.0015026423,657.0
,
0.0014829512,658.0
,
0.0015394397,659.0
,
0.0016067823,660.0
,
0.0015210335,661.0
,
0.0015509999,662.0
,
0.0015882564,663.0
,
0.001610259,664.0
,
0.0014971425,665.0
,
0.0014673668,666.0
,
0.001393267,667.0
,
0.0013340584,668.0
,
0.0012605786,669.0
,
0.0011792941,670.0
,
0.0012000287,671.0
,
0.0011347297,672.0
,
0.0010909894,673.0
,
0.0010138055,674.0
,
0.0010394409,675.0
,
0.0010418305,676.0
,
0.0010731874,677.0
,
0.0011011984,678.0
,
0.0010700924,679.0
,
0.0011639296,680.0
,
0.0011387598,681.0
,
0.001194834,682.0
,
0.001205616,683.0
,
0.0013037976,684.0
,
0.0012929349,685.0
,
0.0013014317,686.0
,
0.0013446751,687.0
,
0.0013919927,688.0
,
0.0014260157,689.0
,
0.0013734181,690.0
,
0.0014188963,691.0
,
0.0013775916,692.0
,
0.0013906041,693.0
,
0.0013371798,694.0
,
0.0013418801,695.0
,
0.0014211164,696.0
,
0.0013470534,697.0
,
0.001315282,698.0
,
0.0014131407,699.0
,
0.0014734557,700.0
,
0.0014704582,701.0
,
0.0015474182,702.0
,
0.0015651288,703.0
,
0.0017819578,704.0
,
0.0018381958,705.0
,
0.0017886732,706.0
,
0.0018567903,707.0
,
0.0018964342,708.0
,
0.001857879,709.0
,
0.0017472741,710.0
,
0.0017861892,711.0
,
0.0017209474,712.0
,
0.0017688789,713.0
,
0.0015929053,714.0
,
0.001603996,715.0
,
0.0016065843,716.0
,
0.0015911171,717.0
,
0.0015900119,718.0
,
0.0016427931,719.0
,
0.0017046925,720.0
,
0.0016059477,721.0
,
0.0015981235,722.0
,
0.0015169577,723.0
,
0.0014766265,724.0
,
0.0014610193,725.0
,
0.0014538435,726.0
,
0.0014114145,727.0
,
0.0013742128,728.0
,
0.0012903323,729.0
,
0.0012526093,730.0
,
0.0013000371,731.0
,
0.0012952009,732.0
,
0.001311125,733.0
,
0.001357936,734.0
,
0.0012625211,735.0
,
0.0012506814,736.0
,
0.0012420781,737.0
,
0.0012601435,738.0
,
0.0014245887,739.0
,
0.0014529482,740.0
,
0.00143737,741.0
,
0.0015056904,742.0
,
0.0014822015,743.0
,
0.0015202237,744.0
,
0.0016448621,745.0
,
0.0016346775,746.0
,
0.0017506303,747.0
,
0.0017088789,748.0
,
0.0016231742,749.0
,
0.0016619973,750.0
,
0.0016811952,751.0
,
0.0016501654,752.0
,
0.0016279487,753.0
,
0.0015456935,754.0
,
0.0014450427,755.0
,
0.0014441294,756.0
,
0.0013843784,757.0
,
0.0013719222,758.0
,
0.0012864972,759.0
,
0.0012014253,760.0
,
0.0011534083,761.0
,
0.0011047863,762.0
,
0.0011721404,763.0
,
0.001141215,764.0
,
0.0011649055,765.0
,
0.0011541259,766.0
,
0.00104775,767.0
,
0.0011247257,768.0
,
0.0011293389,769.0
,
0.0011369591,770.0
,
0.0012278683,771.0
,
0.0012642798,772.0
,
